country_name,indicator_name,sex,age_group,age_categories,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SURINAME,unemployment rate by sex and age,female,15-24,YOUTH,29.929,20.756,37.338,37.33,36.567,36.26,,40.38,39.715,38.984,38.111
QATAR,NAN,MALE,15-24,YOUTH,0.327,0.231,0.213,0.236,0.103,0.085,0.194,0.359,0.274,,0.185
czechia,unemployment rate by sex and age,female,15-24,youth,17.091,14.444,11.383,8.717,7.191,6.021,9.132,9.031,7.9,9.915,9.653
gambia,unemployment rate by sex and age,female,under 15,CHILDREN,9.867,8.251,6.62,4.8,3.153,3.087,3.547,3.544,3.263,3.166,3.104
singapore,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,15-24,youth,12.008,11.273,12.762,12.951,11.215,9.751,13.544,13.566,10.698,9.892,
POLAND,unemployment rate by sex and age,female,15-24,youth,25.456,20.929,17.976,,12.114,10.236,11.507,12.492,,11.414,11.045
mexico,unemployment rate by sex and age,female,25+,adults,3.58,545.1892685873537,2.942,,2.629,2.668,3.267,3.315,2.592,2.252,2.365
united states virgin islands,UNEMPLOYMENT RATE BY SEX AND AGE,male,15-24,youth,23.379,22.942,23.98,23.559,23.688,24.558,29.981,28.343,24.873,23.787,253.06001403432947
NORWAY,UNEMPLOYMENT RATE BY SEX AND AGE,female,15-24,NAN,6.597,8.591,9.255,8.987,8.604,9.491,10.493,11.786,8.771,10.189,9.227
CHILE,unemployment rate by sex and age,FEMALE,15-24,youth,,18.472,17.725,18.448,19.684,20.014,26.116,22.583,19.905,23.9,24.629
spain,unemployment rate by sex and age,male,25+,adults,21.388,18.78,16.334,13.969,12.174,11.091,12.25,11.538,,9.197,253.06001403432947
palestinian territories,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,NAN,adults,20.681,28.478,31.496,35.803,478.69225733239847,495.5104718529904,33.515,37.921,36.385,,
france,unemployment rate by sex and age,MALE,UNDER 15,CHILDREN,10.515,10.788,10.253,9.444,8.981,8.468,8.063,7.963,7.471,7.309,
slovakia,UNEMPLOYMENT RATE BY SEX AND AGE,female,under 15,children,12.954,12.896,10.781,8.407,7.033,5.957,7.102,7.134,6.378,5.967,
BURUNDI,NAN,male,nan,CHILDREN,2.02,,1.698,1.502,1.307,1.119,1.086,,1.012,0.956,0.911
djibouti,unemployment rate by sex and age,FEMALE,15-24,YOUTH,74.485,74.655,74.72,75.416,76.395,77.173,83.99,82.135,78.776,78.541,78.644
nan,nan,FEMALE,25+,ADULTS,1.778,1.783,1.787,2.331,2.831,3.32,4.307,,5.47,,5.303
COLOMBIA,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,25+,adults,5.221,545.1892685873537,5.458,5.616,5.797,6.617,11.099,9.287,7.212,6.39,6.184
senegal,unemployment rate by sex and age,NAN,15-24,YOUTH,11.573,9.007,6.674,4.858,8.483,6.607,7.815,,6.918,6.758,6.541
guyana,UNEMPLOYMENT RATE BY SEX AND AGE,male,15-24,YOUTH,19.56,19.919,20.164,20.37,,22.694,26.314,24.767,21.257,17.713,
montenegro,unemployment rate by sex and age,female,25+,NAN,16.63,15.606,15.197,15.326,14.315,14.784,,14.426,13.801,13.166,12.856
guinea-bissau,unemployment rate by sex and age,MALE,15-24,YOUTH,4.078,3.99,3.958,3.904,3.96,3.981,4.504,,3.981,3.807,3.747
"MOLDOVA, REPUBLIC OF",unemployment rate by sex and age,female,25+,ADULTS,0.966,1.138,0.841,1.08,0.877,1.071,0.713,0.425,0.505,0.956,0.934
nan,unemployment rate by sex and age,male,15-24,youth,5.097,5.303,5.546,5.812,5.975,8.127,7.497,,7.586,7.556,7.561
ALBANIA,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,UNDER 15,CHILDREN,19.853,,16.148,14.452,,11.584,,12.791,11.751,,10.951
BRAZIL,NAN,female,nan,YOUTH,18.881,23.633,30.945,33.059,32.167,31.846,35.295,33.496,,20.607,20.981
ireland,unemployment rate by sex and age,male,UNDER 15,children,12.672,10.733,,7.066,5.781,5.17,5.597,6.232,4.373,4.571,5.008
NAN,unemployment rate by sex and age,male,15-24,youth,19.691,16.069,15.924,14.575,12.004,14.116,21.452,13.97,13.353,12.154,11.348
barbados,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,15-24,youth,28.574,27.973,24.655,26.567,24.119,29.615,34.198,,30.434,28.507,27.327
australia,unemployment rate by sex and age,NAN,NAN,YOUTH,,11.904,11.391,11.468,10.675,10.604,13.122,9.786,7.254,7.301,7.971
ICELAND,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,NAN,children,4.999,3.914,2.919,2.759,2.842,3.845,5.64,5.745,4.132,,3.412
nan,unemployment rate by sex and age,female,UNDER 15,CHILDREN,2.931,2.943,3.164,3.528,3.822,4.038,4.816,295.40519255507814,4.624,4.308,4.083
benin,unemployment rate by sex and age,female,15-24,YOUTH,,4.866,4.969,4.9,4.532,4.374,5.148,5.061,4.619,4.432,4.361
egypt,UNEMPLOYMENT RATE BY SEX AND AGE,male,15-24,youth,,31.453,30.393,29.098,,,13.13,13.137,11.572,11.158,11.002
maldives,unemployment rate by sex and age,FEMALE,15-24,youth,13.593,12.104,10.57,9.894,9.177,8.425,,9.738,9.289,8.921,9.084
SLOVENIA,UNEMPLOYMENT RATE BY SEX AND AGE,male,under 15,children,8.975,545.1892685873537,7.514,5.781,4.615,4.009,4.419,4.252,,3.504,3.225
uganda,unemployment rate by sex and age,female,UNDER 15,CHILDREN,2.991,3.329,3.663,4.144,3.89,3.618,4.355,3.988,3.504,3.398,3.351
iceland,unemployment rate by sex and age,FEMALE,under 15,children,4.789,4.054,3.049,2.719,2.533,3.114,5.29,6.366,3.391,2.381,2.622
sierra leone,unemployment rate by sex and age,FEMALE,UNDER 15,CHILDREN,3.836,3.735,3.359,2.822,,2.135,2.305,2.41,2.187,2.137,2.104
romania,UNEMPLOYMENT RATE BY SEX AND AGE,male,under 15,CHILDREN,7.353,7.537,6.595,5.611,4.72,4.311,5.288,5.985,6.028,,5.865
MAURITANIA,nan,female,15-24,YOUTH,20.045,21.602,23.44,25.043,27.818,30.21,433.4241205489025,,31.464,31.054,30.757
peru,unemployment rate by sex and age,female,25+,ADULTS,,2.544,2.814,2.81,2.659,2.772,5.612,,3.671,3.442,3.347
cambodia,UNEMPLOYMENT RATE BY SEX AND AGE,MALE,25+,ADULTS,0.559,0.269,0.464,0.059,0.048,,0.069,0.303,0.099,0.095,0.086
"tanzania, united republic of",UNEMPLOYMENT RATE BY SEX AND AGE,MALE,25+,adults,,,1.027,1.071,1.138,1.22,1.51,1.578,1.332,1.284,1.254
PHILIPPINES,UNEMPLOYMENT RATE BY SEX AND AGE,female,under 15,children,3.721,3.222,2.853,2.699,2.679,2.534,2.716,3.829,2.685,2.545,2.486
NAN,NAN,male,15-24,youth,9.49,9.712,9.732,9.877,9.675,9.745,10.759,10.696,9.798,9.683,9.622
SWITZERLAND,unemployment rate by sex and age,FEMALE,15-24,NAN,8.563,8.406,8.402,7.987,7.444,7.159,8.0,295.40519255507814,7.521,,
hungary,nan,female,15-24,youth,,15.92,,12.036,10.681,10.596,13.985,15.485,9.484,10.924,11.283
"VENEZUELA, BOLIVARIAN REPUBLIC OF",unemployment rate by sex and age,male,UNDER 15,CHILDREN,6.299,5.801,5.26,4.524,5.055,5.537,7.29,6.802,5.319,5.537,4.985
united arab emirates,UNEMPLOYMENT RATE BY SEX AND AGE,NAN,25+,ADULTS,,0.791,0.687,0.855,0.93,1.068,3.3,1.927,1.958,1.871,1.804
CONGO,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,15-24,YOUTH,39.528,40.54,41.311,42.169,42.297,41.541,46.006,44.774,40.889,,39.307
turkey,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,under 15,children,11.844,12.608,13.651,13.906,13.784,16.428,,14.735,13.419,12.509,12.761
NIGER,UNEMPLOYMENT RATE BY SEX AND AGE,female,25+,adults,0.431,0.47,0.467,0.478,0.458,0.457,0.488,0.873,,0.449,0.404
nan,unemployment rate by sex and age,MALE,under 15,CHILDREN,,11.357,12.036,12.294,12.069,11.699,13.389,,11.353,10.96,10.742
MAURITIUS,unemployment rate by sex and age,NAN,25+,adults,7.368,7.145,,6.511,6.308,6.818,7.623,6.418,6.63,5.445,4.681
serbia,UNEMPLOYMENT RATE BY SEX AND AGE,FEMALE,15-24,YOUTH,50.072,545.1892685873537,39.567,36.306,32.002,,29.468,28.793,26.012,17.95,16.705
SIERRA LEONE,unemployment rate by sex and age,male,25+,adults,4.028,4.471,4.591,4.483,4.037,4.057,4.605,4.745,4.146,4.054,
BHUTAN,unemployment rate by sex and age,male,nan,CHILDREN,1.979,1.904,2.181,2.46,2.74,2.279,4.217,295.40519255507814,,4.472,4.52
MAURITIUS,unemployment rate by sex and age,female,15-24,YOUTH,32.258,,,31.102,,28.615,28.154,,24.192,20.714,19.341
ESTONIA,unemployment rate by sex and age,female,25+,adults,6.539,5.643,5.688,4.904,4.785,4.269,,4.804,3.989,6.164,7.031
mauritania,UNEMPLOYMENT RATE BY SEX AND AGE,female,25+,ADULTS,10.207,,9.28,,10.468,12.016,12.47,,465.9260602831068,,12.21
JAPAN,UNEMPLOYMENT RATE BY SEX AND AGE,male,15-24,YOUTH,6.946,5.862,,,4.148,4.127,5.269,5.098,,4.454,4.262
gambia,UNEMPLOYMENT RATE BY SEX AND AGE,male,UNDER 15,children,6.859,545.1892685873537,6.087,5.47,4.993,4.879,5.838,5.76,5.151,,4.899
